date,username,rawContent
2022-10-29 15:06:56+00:00,rjohnalano,Because the peso is weak and the dollar is strong
2022-10-29 07:10:18+00:00,atplvr,@ogconstantly the peso is not weak because the dollar is strong the peso is weak
2022-10-29 05:25:00+00:00,July40649876,@batanggueno un nmn daw weak evidence kc not that it's weak kc meron strong reason pala..parang peso is weak not that it's weak but because the dollar is strong..😃🤣🤣🤣
2022-10-29 02:14:07+00:00,_wastedwanderer,"@batanggueno Di niya sinabi yan eh. Katunog ng linya niya dati na peso is weak because the dollar is strong kaya kinutuban ako. Nakalagay din na satire ito.

DUN LANG TAYO SA TOTOO, HINDI SA GAWA-GAWANG KUWENTO.

#Truth #Facts #FactsMatter #FactCheck #FactsFirstPH

https://t.co/DUsHn8bWJ7"
2022-10-29 00:39:45+00:00,VoyagerXmen,"The Dollar is not weak, the Dollar is weak because the Peso is strong! what the pinklawans economists could say?"
2022-10-28 23:05:10+00:00,DagunanS,"@hrsjohnny1 @MashaMasha2022 @PWRR_Official @bongbongmarcos Hindi talaga, sabi nga ng anak: ""The peso is not weak, it's just that the dollar is strong""😂"
2022-10-28 17:44:45+00:00,2000_ces,"@Celestine_DKila 🤣Same line of thinking.  The peso is not weak, Dollar is strong.  Did I remember right?"
2022-10-28 12:23:31+00:00,alexislao11,@tjbellware @ANCALERTS Lol   But they cant accept sandro marcos’ the peso is weak bec the usd dollar s strong   Lol
2022-10-28 12:09:09+00:00,henli_que,"@alvinelchico @DorisBigornia Ang nakakatakot yun mga riding in tandem, plunderer, kurakot, over price na laptop, pharmally at higit sa lahat yun weak na peso but the peso is not weak because the dollar is strong!"
2022-10-28 11:37:23+00:00,DodoyPanes,@cessjamias @tyroford @romy622 @MashaMasha2022 Parang the peso is weak because the dollar is strong lang ano? Dinamay pa ng pota ang ibang bansa. 🤮
2022-10-28 10:46:12+00:00,whosdwyne,the peso is weak because the dollar is strong moments
2022-10-27 16:17:05+00:00,znsuzara,"@UltraViol8r Hahaha! If not gold, baka dollars! You know naman the peso is weak bec the dollar is strong"
2022-10-27 07:52:28+00:00,arstuvv,The peso js not weak because the peso is weak the peso is weak because the dollar is strong
2022-10-27 06:09:25+00:00,Clckrz,@inquirerdotnet So what? My gully bully its Department of Health! Like father like son pala kayo eh. The peso is not weak because jt is weak. The peso is weak because the dollar is strong.😆😆😆
2022-10-27 05:56:14+00:00,chilledkamatis,"@FCerujales Mas mahal pa rin kaya sa Pinas now that ""the peso is weak because the peso is weak... the peso is weak because the dollar is strong""?"
2022-10-26 23:51:18+00:00,DanielCaasi1,@leisbeth_recto The peso is not weak. It's just that the dollar is strong.
2022-10-26 21:08:55+00:00,taponbuhay,"bru all i know for gen info is that the peso is not weak because the peso is weak, the peso is weak because the dollar is strong"
2022-10-26 12:32:37+00:00,mgb819,What are these maggots snorting? Their logic are similarly warped like “peso is not weak only because dollar is strong” or “inflation is not that high” https://t.co/Zn1s7exmk0
2022-10-26 09:34:18+00:00,amazinglychao,@Tine20Max ano ka ba. golden era tayo. the economy is well. we are not that high. the peso is not weak but the dollar is strong and you made me stronger by breaking my heart hahahahahah
2022-10-26 09:31:52+00:00,arfrafff,he ain't braining again. the peso is weak because the dollar is strong talaga.
2022-10-26 06:50:57+00:00,cornykyle06,"Hala naa jud diay sa kaliwat no? ""Not because peso is weak but because dollar is strong"""
2022-10-26 05:52:26+00:00,Enku_umi,"@Zeroblade the peso is not weak, the dollar is too strong"
2022-10-25 23:35:32+00:00,Yram_mggm,@Dwarrior_granny Same logic to his son tinagalog lang “Peso is weak because the dollar is strong” lol
2022-10-25 13:54:41+00:00,rlphneedsclout,"the peso is not weak because the peso is weak, the peso is weak because the dollar is strong

guess waht logical fallacy is that?"
2022-10-25 10:16:57+00:00,mynameisjenjen,sumabay ba sa inflation ticket prices sa pilipinas? dahil ba the peso is not weak but the dollar is strong so the pero is weak?
2022-10-25 08:06:29+00:00,MeowSpeedy,"@johnnytamad Hind na pwede ikulong kasi nakakulong.Hindi na rin pwede hulihin.May gash!!!baravash!wala ba rules sa loob?
Parang ano lang peso is not weak becoz peso is weak .peso is weak becoz  dollar is strong .ay ewan!😩."
2022-10-25 07:30:33+00:00,vtalunan,"The peso is not weak, it is the dollar that is strong! hahaha mag ama nga"
2022-10-25 07:15:47+00:00,najinyangii,"peso is not weak because it is weak, peso is weak because dollar is strong"
2022-10-25 01:47:15+00:00,polevu,"The dollar is strong not because the dollar is strong. The dollar is strong because the peso is weak. Thatbis the message of Us President Joe Biden. Hope Sandro gets it

https://t.co/F7i11dLno0"
